Date,US_2Y,US_10Y,US_SP500,EA_2Y_ECB,EA_10Y_ECB,DE_10Y,FR_10Y,IT_10Y,ES_10Y,NL_10Y,BE_10Y,AT_10Y,FI_10Y,GR_10Y,IE_10Y,PT_10Y,DE_DAX,FR_CAC40,IT_FTSEMIB,ES_IBEX35,NL_AEX,BE_BEL20,AT_ATX,FI_OMX25,GR_ASE,IE_ISEQ,GB_10Y,CH_10Y,SE_10Y,NO_10Y,DK_10Y,JP_10Y,AU_10Y,NZ_10Y,CA_10Y,UK_FTSE100,CH_SMI,SE_OMX30,DK_OMXC25,JP_Nikkei225,AU_ASX200,NZ_NZX50,CA_TSX,MX_10Y,CL_10Y,IN_10Y,KR_10Y,ZA_10Y,IL_10Y,HU_10Y,PL_10Y,CZ_10Y,BR_Bovespa,MX_IPC,CL_IPSA,IN_Nifty50,KR_KOSPI,ZA_JSE,IL_TA125,HU_BUX,SG_STI,HK_HangSeng,MY_KLCI,ID_IDX,TH_SET,PH_PSEi,CN_SSEComposite,AR_Merval,SA_TASI,EE_OMXTallinn,LV_OMXRiga,LT_OMXVilnius,RU_MOEX,IS_OMXI,EA_EuroStoxx50,RU_10Y_monthly
2005-01-01,,,,,,3.5647619048,3.5736,3.711,3.59095238095238,3.558,3.59,3.5641,3.6,3.69,3.52,3.56,,,,,,,,,,,4.5419,2.249,3.84,3.9,3.735,1.31,5.35184210526316,5.99,4.2605,,,,,,,,,10.02,5.97141754063263,,4.42,8.1976190476,6.93,7.39,5.97,3.90759856997899,,,,,,,,,,,,,,,,,,,,,,,,8.41
2005-01-03,3.1,4.23,1202.0799560546875,2.4309607852930823,3.661839653845941,,,,,,,,,,,,4291.52978515625,3855.679931640625,31005.0,9124.099609375,351.9100036621094,2969.360107421875,2451.760009765625,,2824.669921875,,,,,,,,,,,,5768.7001953125,,,,,,,,,,,,,,,,25722.0,13022.8203125,1795.8900146484375,,893.7100219726562,,644.6799926757812,14739.9697265625,2070.14990234375,14237.419921875,903.8400268554688,1000.8770141601562,,1846.9000244140625,,1370.0,8149.669921875,,,,,,,
2005-01-04,3.2,4.29,1188.050048828125,2.457144022981635,3.6683232332043447,,,,,,,,,,,,4290.5,3863.300048828125,31094.0,9120.0,352.67999267578125,2987.090087890625,2469.8798828125,,2837.260009765625,6305.25,,,,,,,,,,4847.0,5775.5,,,11517.75,4058.60009765625,,9143.0,,,,,,,,,,24848.0,12777.1298828125,1781.050048828125,,886.9000244140625,,642.5700073242188,14879.7001953125,2068.489990234375,14045.900390625,902.489990234375,1018.5430297851562,684.47998046875,1873.0699462890625,1242.7740478515625,1338.0,8113.509765625,,,,,,,
2005-01-05,3.22,4.29,1183.739990234375,2.479968705583551,3.695968284044715,,,,,,,,,,,,4258.240234375,3829.360107421875,30976.0,9024.400390625,350.1600036621094,2971.7900390625,2446.9599609375,,2818.330078125,6276.27001953125,,,,,,,,,,4806.0,5725.5,,,11437.51953125,4039.39990234375,3087.389892578125,9021.099609375,,,,,,,,,,24692.0,12591.330078125,1767.739990234375,,885.1900024414062,,629.27001953125,14779.009765625,2071.0400390625,13764.3603515625,907.9600219726562,1015.4310302734375,683.5,1875.3699951171875,1251.93701171875,1306.0,8134.72998046875,,,,,,,
2005-01-06,3.18,4.29,1187.8900146484375,2.4155668048432823,3.652553551351109,,,,,,,,,,,,4300.93994140625,3856.47998046875,31073.0,,353.6000061035156,2992.429931640625,,,,6312.509765625,,,,,,,,,,4824.2998046875,5742.39990234375,,,11492.259765625,4029.89990234375,3093.760009765625,9064.2998046875,,,,,,,,,,24367.0,12703.4697265625,1750.699951171875,,871.280029296875,,642.8400268554688,14639.5400390625,2089.820068359375,13712.0400390625,910.4199829101562,1029.885986328125,693.6199951171875,1859.800048828125,1239.4300537109375,1317.0,8142.0498046875,,,,,,,
2005-01-07,3.2,4.29,1186.18994140625,2.390158932480301,3.621109980840599,,,,,,,,,,,,4316.39990234375,3877.9599609375,31128.0,9041.099609375,354.4599914550781,3002.64990234375,2475.1298828125,,2849.31005859375,6373.0498046875,,,,,,,,,,4854.10009765625,5735.2001953125,,,11433.240234375,4063.199951171875,3086.89990234375,9006.2001953125,,,,,,,,,,24747.0,12453.330078125,1764.4599609375,,870.8400268554688,,642.8400268554688,14717.400390625,2085.580078125,13574.8603515625,916.280029296875,1032.5250244140625,697.8400268554688,1851.780029296875,1244.7459716796875,1310.0,,,,,,,,
2005-01-10,3.23,4.29,1190.25,2.386555325789565,3.62108535014616,,,,,,,,,,,,4307.3701171875,3877.820068359375,31134.0,9028.5,355.1300048828125,3001.239990234375,2455.0400390625,,2826.580078125,6417.52978515625,,,,,,,,,,4840.7001953125,5731.7998046875,,,,4074.89990234375,3076.27001953125,9026.7998046875,,,,,,,,,,24292.0,12446.099609375,1754.3900146484375,,874.1799926757812,,655.6199951171875,14586.6904296875,2089.679931640625,13531.3896484375,919.02001953125,1015.47802734375,696.030029296875,1840.469970703125,1252.4010009765625,1335.0,7915.2998046875,,,,,,,
2005-01-11,3.24,4.26,1182.989990234375,2.407134179574964,3.615339298162768,,,,,,,,,,,,4258.009765625,3848.989990234375,30740.0,8966.400390625,352.3800048828125,2980.22998046875,2435.340087890625,,2849.070068359375,6397.68994140625,,,,,,,,,,4818.7001953125,5713.10009765625,,,11539.990234375,4072.699951171875,3083.7099609375,9020.7001953125,,,,,,,,,,24370.0,12216.7998046875,1717.0799560546875,,884.2899780273438,,652.4199829101562,14880.3095703125,2092.2099609375,13509.25,930.6300048828125,1011.6729736328125,691.969970703125,1845.8299560546875,1257.4620361328125,1351.0,8015.6298828125,,,,,,,
2005-01-12,3.22,4.25,1187.699951171875,2.411768553660144,3.624259796917384,,,,,,,,,,,,4208.81982421875,3816.139892578125,30645.0,8945.7001953125,350.1000061035156,2973.919921875,2421.6298828125,,2870.179931640625,6419.89013671875,,,,,,,,,,4783.60009765625,5669.60009765625,,,11453.3896484375,4070.39990234375,3058.659912109375,9022.7001953125,,,,,,,,,,24510.0,12329.16015625,1710.0699462890625,,880.030029296875,,652.5700073242188,15053.599609375,2079.800048828125,13565.3095703125,933.3300170898438,1008.5780029296875,694.6300048828125,1820.5699462890625,1256.9229736328125,1344.0,8112.97021484375,,,,,,,
2005-01-13,3.21,4.2,1177.449951171875,2.365086392470217,3.5889084930939203,,,,,,,,,,,,4212.14013671875,3834.110107421875,30863.0,9016.7998046875,351.0899963378906,2959.719970703125,2415.010009765625,,2892.449951171875,6444.259765625,,,,,,,,,,4800.2998046875,5687.7998046875,,,11358.2197265625,4069.5,3072.929931640625,9009.099609375,,,,,,,,,,24806.0,12462.900390625,1733.6400146484375,,885.5399780273438,,649.0800170898438,15064.0302734375,2082.340087890625,13573.2802734375,934.0999755859375,1021.6699829101562,693.4299926757812,1865.1099853515625,1256.31396484375,1347.0,8061.990234375,,,,,,,
